game	inning	pitcher	hitter	hit	type	x	y
1	Top	Ian Kennedy	Carl Crawford	H	Single	170.68	102.41
1	Top	Ian Kennedy	Yasiel Puig	E	Error	77.25	164.06
1	Top	Ian Kennedy	Yasiel Puig	H	Home Run	26.1	61.24
1	Top	Ian Kennedy	Hanley Ramirez	O	Groundout	107.43	156.63
1	Top	Ian Kennedy	Adrian Gonzalez	O	Flyout	51.2	92.37
1	Bottom	Zack Greinke	Everth Cabrera	O	Groundout	110.44	179.72
1	Bottom	Zack Greinke	Seth Smith	O	Lineout	148.59	165.66
1	Bottom	Zack Greinke	Chase Headley	O	Groundout	148.59	168.67
2	Top	Ian Kennedy	Juan Uribe	H	Single	85.34	119.48
2	Top	Ian Kennedy	A.J. Ellis	O	Flyout	208.84	102.41
2	Top	Ian Kennedy	Zack Greinke	O	Groundout	141.57	156.63
2	Bottom	Zack Greinke	Yonder Alonso	O	Groundout	145.58	154.62
3	Top	Ian Kennedy	Yasiel Puig	O	Pop Out	175.7	149.6
3	Top	Ian Kennedy	Hanley Ramirez	O	Groundout	114.46	150.6
3	Bottom	Zack Greinke	Chris Denorfia	O	Lineout	141.57	147.59
3	Bottom	Zack Greinke	Ian Kennedy	O	Flyout	64.26	95.38
4	Top	Ian Kennedy	Adrian Gonzalez	O	Flyout	171.69	50.2
4	Top	Ian Kennedy	Juan Uribe	H	Double	167.67	46.18
4	Top	Ian Kennedy	Juan Uribe	E	Error	167.67	46.18
4	Top	Ian Kennedy	Dee Gordon	H	Single	117.47	95.38
4	Top	Ian Kennedy	Zack Greinke	O	Groundout	107.43	159.64
4	Bottom	Zack Greinke	Everth Cabrera	O	Flyout	114.46	94.38
4	Bottom	Zack Greinke	Seth Smith	H	Home Run	225.9	74.3
4	Bottom	Zack Greinke	Yonder Alonso	O	Groundout	147.59	165.66
5	Top	Ian Kennedy	Carl Crawford	O	Groundout	107.43	170.68
5	Top	Ian Kennedy	Yasiel Puig	O	Pop Out	107.43	137.55
5	Top	Ian Kennedy	Hanley Ramirez	O	Flyout	108.43	44.18
5	Bottom	Zack Greinke	Will Venable	H	Single	171.69	123.49
5	Bottom	Zack Greinke	Chris Denorfia	O	Groundout	103.41	166.67
5	Bottom	Zack Greinke	Everth Cabrera	O	Flyout	177.71	114.46
6	Top	Tim Stauffer	Juan Uribe	H	Single	109.44	173.69
6	Top	Tim Stauffer	A.J. Ellis	O	Flyout	171.69	119.48
6	Top	Tim Stauffer	Dee Gordon	O	Lineout	109.44	82.33
6	Bottom	Paco Rodriguez	Seth Smith	H	Single	128.51	96.39
6	Bottom	Paco Rodriguez	Chase Headley	O	Groundout	102.41	166.67
7	Top	Tim Stauffer	Carl Crawford	O	Flyout	84.34	125.5
7	Top	Nick Vincent	Yasiel Puig	H	Single	89.36	112.45
7	Top	Nick Vincent	Hanley Ramirez	O	Flyout	173.69	121.49
7	Top	Nick Vincent	Adrian Gonzalez	O	Groundout	113.45	167.67
7	Bottom	Chris Withrow	Will Venable	E	Field Error	147.59	170.68
7	Bottom	Chris Withrow	Chris Denorfia	O	Flyout	170.68	93.37
7	Bottom	Chris Withrow	Yasmani Grandal	O	Flyout	110.44	93.37
8	Top	Joaquin Benoit	Andre Ethier	O	Flyout	125.5	40.16
8	Top	Joaquin Benoit	Juan Uribe	O	Groundout	103.41	163.65
8	Top	Joaquin Benoit	A.J. Ellis	O	Groundout	145.58	166.67
8	Bottom	J.P. Howell	Xavier Nady	O	Groundout	105.42	165.66
8	Bottom	J.P. Howell	Everth Cabrera	H	Single	111.45	99.4
8	Bottom	J.P. Howell	Chase Headley	O	Groundout	134.54	156.63
9	Top	Dale Thayer	Dee Gordon	O	Bunt Groundout	113.45	184.74
9	Top	Dale Thayer	Carl Crawford	O	Flyout	190.76	95.38
9	Bottom	Kenley Jansen	Yonder Alonso	H	Single	178.71	118.47
9	Bottom	Kenley Jansen	Jedd Gyorko	O	Flyout	134.54	93.37
9	Bottom	Kenley Jansen	Will Venable	H	Single	132.53	94.38
1	Top	Nathan Eovaldi	Michael Cuddyer	O	Flyout	198.8	106.43
1	Bottom	Brett Anderson	Christian Yelich	O	Groundout	111.45	158.63
1	Bottom	Brett Anderson	Jeff Baker	O	Flyout	201.81	95.38
1	Bottom	Brett Anderson	Giancarlo Stanton	O	Flyout	95.38	61.24
2	Top	Nathan Eovaldi	Troy Tulowitzki	O	Groundout	107.43	165.66
2	Top	Nathan Eovaldi	Justin Morneau	H	Single	163.65	106.43
2	Top	Nathan Eovaldi	Wilin Rosario	O	Groundout	105.42	163.65
2	Bottom	Brett Anderson	Garrett Jones	H	Single	108.43	85.34
2	Bottom	Brett Anderson	Jarrod Saltalamacchia	H	Double	29.12	95.38
2	Bottom	Brett Anderson	Marcell Ozuna	H	Single	129.52	147.59
2	Bottom	Brett Anderson	Adeiny Hechavarria	O	Flyout	196.79	109.44
3	Top	Nathan Eovaldi	DJ LeMahieu	H	Single	165.66	109.44
3	Bottom	Brett Anderson	Christian Yelich	O	Lineout	106.43	164.66
3	Bottom	Brett Anderson	Jeff Baker	O	Groundout	105.42	160.64
4	Top	Nathan Eovaldi	Troy Tulowitzki	H	Double	180.72	82.33
4	Top	Nathan Eovaldi	Justin Morneau	H	Single	114.46	166.67
4	Top	Nathan Eovaldi	Wilin Rosario	O	Flyout	192.77	114.46
4	Top	Nathan Eovaldi	Nolan Arenado	O	Flyout	191.77	146.59
4	Bottom	Brett Anderson	Giancarlo Stanton	O	Groundout	126.51	187.75
4	Bottom	Brett Anderson	Casey McGehee	O	Groundout	113.45	160.64
4	Bottom	Brett Anderson	Garrett Jones	O	Flyout	86.35	113.45
5	Top	Nathan Eovaldi	DJ LeMahieu	O	Lineout	175.7	94.38
5	Top	Nathan Eovaldi	Brett Anderson	H	Double	81.33	108.43
5	Top	Nathan Eovaldi	Drew Stubbs	O	Groundout	127.51	177.71
5	Top	Nathan Eovaldi	Michael Cuddyer	O	Flyout	194.78	95.38
5	Bottom	Brett Anderson	Jarrod Saltalamacchia	O	Pop Out	113.45	183.73
5	Bottom	Brett Anderson	Marcell Ozuna	O	Groundout	101.41	161.65
5	Bottom	Brett Anderson	Adeiny Hechavarria	O	Groundout	110.44	168.67
6	Top	Nathan Eovaldi	Carlos Gonzalez	O	Groundout	141.57	157.63
6	Top	Nathan Eovaldi	Troy Tulowitzki	O	Flyout	72.29	121.49
6	Top	Nathan Eovaldi	Justin Morneau	H	Single	130.52	102.41
6	Top	Nathan Eovaldi	Wilin Rosario	O	Pop Out	158.63	142.57
6	Bottom	Brett Anderson	Reed Johnson	H	Double	202.81	89.36
6	Bottom	Brett Anderson	Christian Yelich	O	Groundout	129.52	155.62
6	Bottom	Brett Anderson	Giancarlo Stanton	O	Groundout	98.39	170.68
6	Bottom	Brett Anderson	Giancarlo Stanton	E	Error	98.39	170.68
6	Bottom	Brett Anderson	Casey McGehee	H	Single	120.48	97.39
6	Bottom	Brett Anderson	Garrett Jones	O	Lineout	97.39	88.35
7	Top	Carlos Marmol	Nolan Arenado	O	Pop Out	108.43	157.63
7	Top	Carlos Marmol	DJ LeMahieu	O	Pop Out	168.67	176.71
7	Top	Carlos Marmol	Charlie Blackmon	H	Single	194.78	118.47
7	Top	Carlos Marmol	Drew Stubbs	O	Groundout	107.43	154.62
7	Bottom	Adam Ottavino	Adeiny Hechavarria	O	Groundout	104.42	174.7
8	Top	Mike Dunn	Michael Cuddyer	H	Double	37.15	110.44
8	Top	Mike Dunn	Carlos Gonzalez	H	Double	158.63	39.16
8	Top	Mike Dunn	Troy Tulowitzki	O	Flyout	132.53	87.35
8	Top	Mike Dunn	Justin Morneau	O	Groundout	112.45	183.73
8	Bottom	Rex Brothers	Donovan Solano	O	Flyout	179.72	133.53
8	Bottom	Rex Brothers	Christian Yelich	O	Groundout	110.44	155.62
8	Bottom	Rex Brothers	Jeff Baker	O	Groundout	134.54	157.63
9	Top	Steve Cishek	DJ LeMahieu	O	Groundout	116.47	163.65
9	Top	Steve Cishek	Drew Stubbs	O	Groundout	98.39	168.67
1	Top	Scott Feldman	Jacoby Ellsbury	O	Flyout	84.34	76.31
1	Top	Scott Feldman	Carlos Beltran	O	Groundout	127.51	144.58
1	Top	Scott Feldman	Brian McCann	O	Groundout	125.5	147.59
1	Bottom	CC Sabathia	Dexter Fowler	H	Double	127.51	26.1
1	Bottom	CC Sabathia	Robbie Grossman	O	Flyout	179.72	116.47
1	Bottom	CC Sabathia	Jose Altuve	H	Single	86.35	131.53
1	Bottom	CC Sabathia	Jason Castro	O	Groundout	143.57	178.71
1	Bottom	CC Sabathia	Jesus Guzman	H	Home Run	67.27	47.19
1	Bottom	CC Sabathia	Chris Carter	O	Groundout	125.5	179.72
1	Bottom	CC Sabathia	Matt Dominguez	O	Flyout	129.52	108.43
2	Top	Scott Feldman	Mark Teixeira	O	Flyout	193.78	66.27
2	Top	Scott Feldman	Alfonso Soriano	O	Flyout	156.63	50.2
2	Top	Scott Feldman	Brett Gardner	O	Pop Out	150.6	123.49
2	Bottom	CC Sabathia	L.J. Hoes	H	Home Run	28.11	101.41
2	Bottom	CC Sabathia	Dexter Fowler	H	Double	76.31	120.48
2	Bottom	CC Sabathia	Robbie Grossman	O	Groundout	111.45	153.61
2	Bottom	CC Sabathia	Jose Altuve	H	Single	206.83	122.49
2	Bottom	CC Sabathia	Jose Altuve	E	Error	206.83	122.49
2	Bottom	CC Sabathia	Jason Castro	O	Groundout	143.57	155.62
3	Top	Scott Feldman	Brian Roberts	O	Lineout	109.44	175.7
3	Top	Scott Feldman	Kelly Johnson	O	Groundout	149.6	160.64
3	Top	Scott Feldman	Jacoby Ellsbury	O	Groundout	155.62	157.63
3	Bottom	CC Sabathia	Chris Carter	O	Groundout	115.46	147.59
4	Top	Scott Feldman	Carlos Beltran	H	Single	81.33	112.45
4	Top	Scott Feldman	Brian McCann	O	Flyout	139.56	72.29
4	Bottom	CC Sabathia	Jonathan Villar	H	Single	125.5	110.44
4	Bottom	CC Sabathia	Robbie Grossman	O	Flyout	181.73	113.45
5	Top	Scott Feldman	Brett Gardner	O	Groundout	143.57	155.62
5	Top	Scott Feldman	Brian Roberts	O	Flyout	70.28	126.51
5	Top	Scott Feldman	Kelly Johnson	O	Groundout	156.63	169.68
5	Bottom	CC Sabathia	Jose Altuve	O	Groundout	106.43	159.64
5	Bottom	CC Sabathia	Jason Castro	H	Single	110.44	169.68
5	Bottom	CC Sabathia	Jesus Guzman	O	Groundout	146.59	159.64
6	Top	Scott Feldman	Jacoby Ellsbury	O	Flyout	103.41	38.15
6	Top	Scott Feldman	Derek Jeter	O	Groundout	155.62	164.66
6	Top	Scott Feldman	Carlos Beltran	O	Flyout	114.46	87.35
6	Bottom	CC Sabathia	L.J. Hoes	O	Groundout	100.4	167.67
6	Bottom	CC Sabathia	Jonathan Villar	O	Groundout	105.42	171.69
7	Top	Scott Feldman	Brian McCann	O	Flyout	147.59	122.49
7	Top	Scott Feldman	Mark Teixeira	H	Single	175.7	98.39
7	Top	Kevin Chapman	Kelly Johnson	O	Groundout	121.49	187.75
7	Bottom	Dellin Betances	Jose Altuve	O	Groundout	137.55	151.61
8	Top	Chad Qualls	Derek Jeter	H	Single	175.7	122.49
8	Top	Chad Qualls	Carlos Beltran	O	Groundout	141.57	172.69
8	Top	Chad Qualls	Brian McCann	H	Single	72.29	111.45
8	Top	Chad Qualls	Mark Teixeira	H	Single	95.38	128.51
8	Top	Chad Qualls	Alfonso Soriano	O	Groundout	103.41	173.69
8	Bottom	Vidal Nuno	Chris Carter	H	Single	86.35	123.49
9	Top	Matt Albers	Brett Gardner	O	Lineout	70.28	124.5
9	Top	Matt Albers	Brian Roberts	O	Flyout	193.78	72.29
9	Top	Matt Albers	Kelly Johnson	H	Double	88.35	70.28
9	Top	Matt Albers	Jacoby Ellsbury	O	Groundout	153.61	168.67
1	Top	Alex Cobb	Melky Cabrera	H	Single	122.49	101.41
1	Top	Alex Cobb	Colby Rasmus	O	Flyout	95.38	114.46
1	Top	Alex Cobb	Edwin Encarnacion	O	Flyout	164.66	105.42
1	Top	Alex Cobb	Adam Lind	H	Home Run	152.61	19.08
1	Top	Alex Cobb	Dioner Navarro	O	Lineout	115.46	150.6
1	Bottom	Drew Hutchison	Matt Joyce	H	Single	89.36	102.41
1	Bottom	Drew Hutchison	Ben Zobrist	O	Pop Out	101.41	197.79
2	Top	Alex Cobb	Brett Lawrie	O	Groundout	135.54	147.59
2	Top	Alex Cobb	Ryan Goins	O	Groundout	107.43	150.6
2	Top	Alex Cobb	Melky Cabrera	H	Single	155.62	107.43
2	Bottom	Drew Hutchison	Logan Forsythe	O	Groundout	126.51	174.7
3	Top	Alex Cobb	Jose Bautista	O	Groundout	94.38	156.63
3	Top	Alex Cobb	Edwin Encarnacion	O	Groundout	126.51	144.58
3	Bottom	Drew Hutchison	Ryan Hanigan	O	Lineout	102.41	151.61
3	Bottom	Drew Hutchison	Matt Joyce	O	Pop Out	137.55	155.62
4	Top	Alex Cobb	Dioner Navarro	O	Groundout	138.55	147.59
4	Top	Alex Cobb	Ryan Goins	O	Groundout	140.56	146.59
4	Top	Alex Cobb	Jonathan Diaz	H	Single	130.52	100.4
4	Top	Alex Cobb	Melky Cabrera	O	Groundout	123.49	176.71
4	Bottom	Drew Hutchison	Wil Myers	O	Flyout	117.47	54.22
4	Bottom	Drew Hutchison	Ben Zobrist	O	Groundout	148.59	163.65
4	Bottom	Drew Hutchison	Evan Longoria	O	Flyout	134.54	64.26
5	Top	Alex Cobb	Colby Rasmus	H	Double	191.77	114.46
5	Top	Alex Cobb	Edwin Encarnacion	O	Pop Out	134.54	112.45
5	Top	Alex Cobb	Dioner Navarro	O	Groundout	141.57	152.61
5	Bottom	Drew Hutchison	James Loney	O	Groundout	116.47	146.59
5	Bottom	Drew Hutchison	Desmond Jennings	H	Double	38.15	100.4
5	Bottom	Drew Hutchison	Logan Forsythe	O	Groundout	106.43	156.63
6	Top	Heath Bell	Brett Lawrie	O	Groundout	141.57	155.62
6	Top	Heath Bell	Ryan Goins	O	Pop Out	160.64	168.67
6	Top	Heath Bell	Jonathan Diaz	O	Groundout	112.45	149.6
6	Bottom	Drew Hutchison	Yunel Escobar	H	Single	166.67	117.47
6	Bottom	Drew Hutchison	Wil Myers	O	Flyout	182.73	119.48
6	Bottom	Aaron Loup	Ben Zobrist	O	Groundout	103.41	167.67
6	Bottom	Aaron Loup	Evan Longoria	O	Lineout	149.6	165.66
7	Top	Josh Lueke	Melky Cabrera	O	Pop Out	134.54	120.48
7	Bottom	Aaron Loup	James Loney	O	Groundout	140.56	156.63
7	Bottom	Aaron Loup	Desmond Jennings	O	Pop Out	140.56	198.8
8	Top	Cesar Ramos	Adam Lind	H	Single	85.34	113.45
8	Top	Cesar Ramos	Dioner Navarro	O	Groundout	109.44	157.63
